"Faixa_Etária";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"1 a 2 anos";"0";"0";"0";"0";"0";"0";"588";"53029";"74330";"89373";"74647";"109299";"116113";"139622";"115018";"173717";"52828";"208867";"338010";"175296";"0";"0";"0";"0";"0";"0";"0";"1720737"
"1 a 4 anos";"617036";"4790358";"9731704";"26517478";"26385967";"27003787";"36020882";"28509947";"27067281";"27098244";"26541275";"26526186";"26093351";"25944715";"24508123";"24286303";"23415489";"443082";"630345";"311144";"90731";"63084";"34065";"23187";"13225";"8518";"5563";"392681070"
"1 a 11 anos";"0";"0";"0";"0";"0";"0";"7577499";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7577499"
"2 a 4 anos";"129";"40333";"269";"4481";"65813";"275195";"39137";"157586";"54346";"39069";"48068";"62248";"81071";"104855";"104898";"305816";"259331";"148634";"37327";"22463";"28305";"22368";"6185";"4812";"5198";"40742";"415892";"2374571"
"3 a 8 anos";"0";"0";"0";"0";"0";"0";"1822";"66904";"156002";"184322";"145133";"199685";"216463";"244438";"201913";"278961";"100850";"315284";"841683";"306311";"0";"0";"0";"0";"0";"0";"0";"3259771"
"5 a 6 anos";"437942";"1099163";"594575";"1643698";"2727773";"3388610";"2761798";"3176040";"3091893";"2996046";"4163839";"4013628";"3230755";"3100785";"2735682";"3055197";"2774139";"3057610";"2036064";"1423228";"1010547";"876403";"242462";"160188";"152985";"138159";"110420";"54199629"
"5 a 8 anos";"27887";"63563";"57096";"75905";"95963";"106027";"107213";"165638";"156042";"186048";"157905";"191507";"183154";"207903";"225663";"225212";"211069";"217426";"248476";"266735";"312826";"176411";"109059";"83823";"125022";"76141";"183331";"4243045"
"5 a 9 anos";"138659";"217835";"144316";"205687";"1152612";"1682052";"1582895";"834534";"182777";"189493";"165815";"132647";"85084";"88966";"278876";"465395";"111596";"89843";"66329";"73727";"66116";"685213";"984184";"2081522";"1279289";"429303";"1559822";"14974587"
"5 a 10 anos";"200552";"77597";"94468";"123540";"347908";"1275053";"850537";"8156228";"6802268";"3708941";"1696218";"946331";"488958";"297755";"163224";"113582";"95144";"91758";"71017";"61890";"49119";"35423";"17755";"16215";"8606";"4647";"6952";"25801686"
"5 a 12 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"414";"971";"994";"164";"0";"2543"
"5 anos e mais";"146300";"829992";"978698";"5607419";"2835735";"2456109";"2464390";"1795812";"1839862";"1539258";"1395322";"1179878";"776456";"794159";"762816";"565290";"326732";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26294228"
"7 a 9 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"200";"774";"1216";"0";"0";"0";"102";"212";"2504"
"7 a 11 anos";"1560443";"2202235";"1750319";"2040836";"2756909";"3116868";"1906529";"1383384";"1303268";"1163298";"997968";"1170480";"1031617";"1370819";"1104348";"808122";"764725";"642898";"505220";"427421";"353862";"486730";"214661";"194920";"232923";"362024";"244232";"30097059"
"7 a 14 anos";"411734";"827965";"765433";"2125315";"1195024";"1219347";"1068903";"889787";"794719";"808185";"665463";"781027";"300434";"29054";"14198";"11123";"6254";"4291";"3365";"14770";"10556";"5021";"2665";"1732";"914";"477";"426";"11958182"
"7 a 17 anos";"0";"0";"0";"0";"0";"0";"7";"8073";"9710";"30389";"2409";"1420";"2103";"1323";"1398";"1303";"907";"1361";"1151";"1194";"965";"257";"340";"358";"185";"151";"35";"65039"
"7 anos e mais";"120";"5";"0";"990910";"0";"0";"39";"39724";"20993";"16097";"19186";"16614";"12780";"13148";"13919";"11070";"12604";"12229";"11383";"12202";"15560";"11512";"3761";"4124";"2822";"2518";"7075";"1250395"
